_no,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defence,_min_magic_attack,_max_magic_attack,_fire_res,_cold_res,_earth_res,_dark_res,_poison_res,_avoid,_type,_hand,_enhance_limit,_skill_limit,_nickName
1,나뭇가지,,,5,10,,,,,,,,,,,1,3,1,spear2
2,곤봉,,,10,15,,,,,,,,,,,1,3,1,spear1
3,강화된 곤봉,,,15,20,,,,,,,,,,,1,3,2,spear3
4,창,,,20,25,,,,,,,,,,,1,3,2,spear4
5,파르티잔,,,25,30,,,,,,,,,,,1,3,3,spear7
6,할버드,,,30,35,,,,,,,,,,,2,3,3,spear11
7,글레이브,,,35,40,,,,,,,,,,,2,3,3,spear14
8,폴암,,,35,45,,,,,,,,,,,2,3,3,spear15
9,기사의 창,20,,30,35,,,,,,,,,,,1,3,3,spear12
10,붉은 악마의 삼지창,,,35,45,,,,20,,,10,,,DARK,2,5,3,spear9
11,여의봉,20,,35,45,,,,,,10,,,10,,2,3,3,spear13
12,삼지창,,,35,45,,,,,20,,10,,,ICE,2,3,3,spear10
13,파란창,,,20,25,,,,,,,,,,,1,3,2,spear5
14,녹색창,,,20,25,,,,,,,,,,,1,3,2,spear6
15,파르티잔,,,25,30,,,,,,,,,,,1,3,3,spear8
